,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
0,loo,0.7321,100.0,300.0,0.0,5.0,-0.0321,0.0458257569496
1,100 splits,0.7321,100.0,300.0,0.0,5.0,-0.02185,0.00729980736047
0,loo,0.6774,100.0,300.0,0.0,5.0,-0.0074,0.047021271782
1,100 splits,0.6774,100.0,300.0,0.0,5.0,-0.0624,0.00662382064975
0,loo,0.6814,100.0,300.0,0.0,5.0,-0.0714,0.048774993593
1,100 splits,0.6814,100.0,300.0,0.0,5.0,-0.1029,0.00630981378489
0,loo,0.739,100.0,300.0,0.0,5.0,0.021,0.0427083130081
1,100 splits,0.739,100.0,300.0,0.0,5.0,-0.048,0.00586046073274
0,loo,0.7025,100.0,300.0,0.0,5.0,-0.0025,0.0458257569496
1,100 splits,0.7025,100.0,300.0,0.0,5.0,0.02875,0.00610775633928
0,loo,0.7311,100.0,300.0,0.0,5.0,0.0489,0.0414246303544
1,100 splits,0.7311,100.0,300.0,0.0,5.0,0.0129,0.00465778917513
0,loo,0.6994,100.0,300.0,0.0,5.0,0.0306,0.0443959457608
1,100 splits,0.6994,100.0,300.0,0.0,5.0,-0.0309,0.00845066565425
0,loo,0.7081,100.0,300.0,0.0,5.0,0.0619,0.042083250825
1,100 splits,0.7081,100.0,300.0,0.0,5.0,0.0604,0.00613707992452
0,loo,0.7222,100.0,300.0,0.0,5.0,-0.0422,0.0466476151588
1,100 splits,0.7222,100.0,300.0,0.0,5.0,-0.0552,0.00527304466129
0,loo,0.7062,100.0,300.0,0.0,5.0,-0.0162,0.0462493243194
1,100 splits,0.7062,100.0,300.0,0.0,5.0,-0.04695,0.00839700467429
0,loo,0.7018,100.0,300.0,0.0,5.0,0.0482,0.0433012701892
1,100 splits,0.7018,100.0,300.0,0.0,5.0,0.0337,0.00541514081073
0,loo,0.6905,100.0,300.0,0.0,5.0,0.0295,0.0448998886413
1,100 splits,0.6905,100.0,300.0,0.0,5.0,0.02975,0.00678322839804
0,loo,0.7117,100.0,300.0,0.0,5.0,-0.0417,0.047021271782
1,100 splits,0.7117,100.0,300.0,0.0,5.0,-0.0662,0.00569198998594
0,loo,0.7104,100.0,300.0,0.0,5.0,-0.0504,0.0473708771293
1,100 splits,0.7104,100.0,300.0,0.0,5.0,-0.0479,0.00579601155968
0,loo,0.6997,100.0,300.0,0.0,5.0,-0.0097,0.0462493243194
1,100 splits,0.6997,100.0,300.0,0.0,5.0,-0.06795,0.00637551468511
0,loo,0.725,100.0,300.0,0.0,5.0,0.065,0.0407308237088
1,100 splits,0.725,100.0,300.0,0.0,5.0,0.03,0.0063835726674
