,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
1,50 splits,0.6974,100.0,300.0,0.0,5.0,0.0456,0.0110462663375
0,loo,0.6975,100.0,300.0,0.0,5.0,0.0325,0.0443959457608
1,50 splits,0.6975,100.0,300.0,0.0,5.0,-0.0555,0.0132936074863
0,loo,0.7197,100.0,300.0,0.0,5.0,0.0803,0.04
1,50 splits,0.7197,100.0,300.0,0.0,5.0,0.0693,0.0120241423811
0,loo,0.6935,100.0,300.0,0.0,5.0,0.0265,0.0448998886413
1,50 splits,0.6935,100.0,300.0,0.0,5.0,0.0005,0.0111928548637
0,loo,0.6915,100.0,300.0,0.0,5.0,-0.0215,0.047021271782
1,50 splits,0.6915,100.0,300.0,0.0,5.0,-0.0215,0.010677078252
0,loo,0.7055,100.0,300.0,0.0,5.0,0.0545,0.0427083130081
1,50 splits,0.7055,100.0,300.0,0.0,5.0,-0.0025,0.0113498898673
0,loo,0.7267,100.0,300.0,0.0,5.0,-0.0067,0.0448998886413
1,50 splits,0.7267,100.0,300.0,0.0,5.0,-0.0157,0.011686744628
0,loo,0.6998,100.0,300.0,0.0,5.0,0.0202,0.0448998886413
1,50 splits,0.6998,100.0,300.0,0.0,5.0,0.0052,0.0124298028947
0,loo,0.7264,100.0,300.0,0.0,5.0,-0.0164,0.0453762052182
1,50 splits,0.7264,100.0,300.0,0.0,5.0,-0.0284,0.014963956696
0,loo,0.7091,100.0,300.0,0.0,5.0,0.1209,0.037563279942
1,50 splits,0.7091,100.0,300.0,0.0,5.0,0.0589,0.0116413057687
0,loo,0.7263,100.0,300.0,0.0,5.0,-0.0863,0.048
1,50 splits,0.7263,100.0,300.0,0.0,5.0,-0.0733,0.0123620386668
0,loo,0.7134,100.0,300.0,0.0,5.0,-0.0434,0.047021271782
1,50 splits,0.7134,100.0,300.0,0.0,5.0,-0.0324,0.0126404113857
0,loo,0.6868,100.0,300.0,0.0,5.0,0.0232,0.0453762052182
1,50 splits,0.6868,100.0,300.0,0.0,5.0,-0.0088,0.0113278418068
0,loo,0.7187,100.0,300.0,0.0,5.0,-0.0487,0.047021271782
1,50 splits,0.7187,100.0,300.0,0.0,5.0,-0.0277,0.0100687635785
0,loo,0.7052,100.0,300.0,0.0,5.0,-0.0552,0.0476969600708
1,50 splits,0.7052,100.0,300.0,0.0,5.0,-0.0402,0.00982344135219
0,loo,0.7105,100.0,300.0,0.0,5.0,-0.0905,0.048538644398
1,50 splits,0.7105,100.0,300.0,0.0,5.0,-0.0805,0.00916515138991
0,loo,0.7109,100.0,300.0,0.0,5.0,0.0191,0.0443959457608
1,50 splits,0.7109,100.0,300.0,0.0,5.0,0.0041,0.0102225241501
0,loo,0.7172,100.0,300.0,0.0,5.0,0.0028,0.0448998886413
1,50 splits,0.7172,100.0,300.0,0.0,5.0,0.0078,0.00951314879522
0,loo,0.6977,100.0,300.0,0.0,5.0,-0.0377,0.0473708771293
1,50 splits,0.6977,100.0,300.0,0.0,5.0,-0.0337,0.0181681039187
0,loo,0.6718,100.0,300.0,0.0,5.0,0.0082,0.0466476151588
1,50 splits,0.6718,100.0,300.0,0.0,5.0,-0.0268,0.0118532695911
0,loo,0.6922,100.0,300.0,0.0,5.0,-0.1322,0.049638694584
1,50 splits,0.6922,100.0,300.0,0.0,5.0,-0.1042,0.0140399430198
0,loo,0.6777,100.0,300.0,0.0,5.0,-0.0977,0.049355850717
1,50 splits,0.6777,100.0,300.0,0.0,5.0,-0.0527,0.017734147851
0,loo,0.7033,100.0,300.0,0.0,5.0,0.0367,0.0438634243989
1,50 splits,0.7033,100.0,300.0,0.0,5.0,0.0217,0.00919238815543
0,loo,0.6871,100.0,300.0,0.0,5.0,-0.0171,0.047021271782
1,50 splits,0.6871,100.0,300.0,0.0,5.0,-0.0171,0.010677078252
0,loo,0.7161,100.0,300.0,0.0,5.0,-0.0061,0.0453762052182
1,50 splits,0.7161,100.0,300.0,0.0,5.0,-0.0031,0.01046995702
0,loo,0.74,100.0,300.0,0.0,5.0,0.0,0.0438634243989
1,50 splits,0.74,100.0,300.0,0.0,5.0,-0.001,0.0111615411122
0,loo,0.7263,100.0,300.0,0.0,5.0,-0.1163,0.048774993593
1,50 splits,0.7263,100.0,300.0,0.0,5.0,-0.0993,0.0120174872582
0,loo,0.6927,100.0,300.0,0.0,5.0,-0.1027,0.0491833305094
1,50 splits,0.6927,100.0,300.0,0.0,5.0,-0.0687,0.0160149929753
0,loo,0.6992,100.0,300.0,0.0,5.0,-0.0792,0.048538644398
1,50 splits,0.6992,100.0,300.0,0.0,5.0,-0.0702,0.0124169239347
0,loo,0.7294,100.0,300.0,0.0,5.0,-0.0694,0.0473708771293
1,50 splits,0.7294,100.0,300.0,0.0,5.0,-0.0754,0.0123967737738
0,loo,0.7321,100.0,300.0,0.0,5.0,0.0679,0.04
1,50 splits,0.7321,100.0,300.0,0.0,5.0,0.0539,0.013641114324
0,loo,0.7029,100.0,300.0,0.0,5.0,-0.0229,0.0466476151588
1,50 splits,0.7029,100.0,300.0,0.0,5.0,-0.0459,0.013565397156
0,loo,0.6928,100.0,300.0,0.0,5.0,-0.1428,0.0497493718553
1,50 splits,0.6928,100.0,300.0,0.0,5.0,-0.0928,0.0112249721603
0,loo,0.71,100.0,300.0,0.0,5.0,0.0,0.0453762052182
1,50 splits,0.71,100.0,300.0,0.0,5.0,-0.004,0.0115446957517
0,loo,0.7255,100.0,300.0,0.0,5.0,0.0745,0.04
1,50 splits,0.7255,100.0,300.0,0.0,5.0,0.0015,0.0107898100076
0,loo,0.7132,100.0,300.0,0.0,5.0,0.0068,0.0448998886413
1,50 splits,0.7132,100.0,300.0,0.0,5.0,-0.0022,0.0125131930378
0,loo,0.6984,100.0,300.0,0.0,5.0,0.0716,0.042083250825
1,50 splits,0.6984,100.0,300.0,0.0,5.0,0.0716,0.0118321595662
0,loo,0.6629,100.0,300.0,0.0,5.0,0.0471,0.0453762052182
1,50 splits,0.6629,100.0,300.0,0.0,5.0,0.0271,0.011313708499
0,loo,0.7196,100.0,300.0,0.0,5.0,0.0404,0.0427083130081
1,50 splits,0.7196,100.0,300.0,0.0,5.0,0.0524,0.010407689465
0,loo,0.7207,100.0,300.0,0.0,5.0,-0.0707,0.0476969600708
1,50 splits,0.7207,100.0,300.0,0.0,5.0,-0.0607,0.0137113092008
0,loo,0.734,100.0,300.0,0.0,5.0,-0.054,0.0466476151588
1,50 splits,0.734,100.0,300.0,0.0,5.0,-0.051,0.00933916484489
0,loo,0.6709,100.0,300.0,0.0,5.0,-0.0609,0.048774993593
1,50 splits,0.6709,100.0,300.0,0.0,5.0,-0.1089,0.0130046145656
0,loo,0.7023,100.0,300.0,0.0,5.0,-0.0223,0.0466476151588
1,50 splits,0.7023,100.0,300.0,0.0,5.0,-0.0883,0.0133446618541
0,loo,0.6753,100.0,300.0,0.0,5.0,-0.0453,0.0482804308183
1,50 splits,0.6753,100.0,300.0,0.0,5.0,-0.0633,0.014322011032
0,loo,0.6732,100.0,300.0,0.0,5.0,0.0668,0.0438634243989
1,50 splits,0.6732,100.0,300.0,0.0,5.0,0.0438,0.0141852035586
0,loo,0.7142,100.0,300.0,0.0,5.0,0.0258,0.0438634243989
1,50 splits,0.7142,100.0,300.0,0.0,5.0,-0.0082,0.0109215383532
0,loo,0.7062,100.0,300.0,0.0,5.0,-0.0262,0.0466476151588
1,50 splits,0.7062,100.0,300.0,0.0,5.0,-0.0242,0.0135469553775
0,loo,0.725,100.0,300.0,0.0,5.0,-0.055,0.047021271782
1,50 splits,0.725,100.0,300.0,0.0,5.0,-0.055,0.0100995049384
0,loo,0.7201,100.0,300.0,0.0,5.0,-0.0101,0.0453762052182
1,50 splits,0.7201,100.0,300.0,0.0,5.0,-0.0481,0.0132785541382
0,loo,0.6993,100.0,300.0,0.0,5.0,0.0307,0.0443959457608
1,50 splits,0.6993,100.0,300.0,0.0,5.0,0.0217,0.00990858213873
